Gene ID	Gene name
ILMN_1773006	FABP4
ILMN_2118129	ITLN2
ILMN_1811598	ADH1B
ILMN_2257015	AGER
ILMN_1732158	FMO2
ILMN_1743445	FAM107A
ILMN_1682176	CLEC3B
ILMN_1766712	TCF21
ILMN_1687583	CAV1
ILMN_1728570	TCF21
ILMN_1690829	AGER
ILMN_2149226	CAV1
ILMN_1691339	CLEC1A
ILMN_1720771	STX11
ILMN_1800697	LDB2
ILMN_1762713	MCEMP1
ILMN_1784493	
ILMN_1751904	EDNRB
ILMN_1790859	PLAC9
ILMN_2066151	TEK
ILMN_1672350	JAM2
ILMN_1658494	RGCC
ILMN_1751576	TEK
ILMN_1796801	ABCA8
ILMN_1766832	
ILMN_1808114	LYVE1
ILMN_1689518	PECAM1
ILMN_1678215	RHOJ
ILMN_1726210	GPIHBP1
ILMN_1695157	CA4
ILMN_1748206	CCM2L
ILMN_2329429	
ILMN_1653504	S1PR1
ILMN_1764309	ADH1A
ILMN_1766914	MFAP4
ILMN_1714228	SPTBN1
ILMN_1729777	AGER
ILMN_1812902	CYYR1
ILMN_1656287	SPOCK2
ILMN_1660114	MMRN1
ILMN_1805842	FHL1
ILMN_1678170	MME
ILMN_1675936	HIGD1B
ILMN_1796094	CD36
ILMN_2100437	HBB
ILMN_1864685	SLIT3
ILMN_2400947	CELF2
ILMN_1755588	KANK3
ILMN_1775814	GHR
ILMN_1760493	LIMS2
ILMN_2210753	LYVE1
ILMN_2127842	HBA2
ILMN_1784863	CD36
ILMN_2319326	ADARB1
ILMN_1719236	CDH5
ILMN_1682332	GYPC
ILMN_1658835	CAV2
ILMN_1668039	GYPC
ILMN_1662419	COX7A1
ILMN_1740609	CCL14
ILMN_2331082	MS4A7
ILMN_1672102	PTPRB
ILMN_1729216	CRYAB
ILMN_2112638	SVEP1
ILMN_2170813	LAMP3
ILMN_1704730	CD93
ILMN_1872404	CCDC50
ILMN_1670708	F10
ILMN_1719351	TCF21
ILMN_1652631	GLIPR2
ILMN_1672403	ADAMTS8
ILMN_1781149	INMT
ILMN_1766551	CPA3
ILMN_1667796	HBA1
ILMN_1776151	OLFML1
ILMN_1671046	HSPB2
ILMN_1750961	TM6SF1
ILMN_1676897	HSPA12B
ILMN_2107613	RHOJ
ILMN_1750790	GSTM5
ILMN_1679391	MAMDC2
ILMN_1764577	MFNG
ILMN_1760990	SH3GL3
ILMN_1784287	TGFBR3
ILMN_1795251	SPARCL1
ILMN_1709486	SRPX
ILMN_2218208	SPARCL1
ILMN_1775734	SH2D3C
ILMN_1777190	CFD
ILMN_1815679	COL6A6
ILMN_1689160	DPEP2
ILMN_1715991	SDPR
ILMN_1752755	VWF
ILMN_1673639	ABI3BP
ILMN_1754894	C1orf162
ILMN_1666122	HEG1
ILMN_2174805	CD300LG
