Gene ID	Gene name
ILMN_1796013	PYCR1
ILMN_1771233	CHMP4B
ILMN_1753830	ETV4
ILMN_1703593	BAIAP2L1
ILMN_1659888	PPP1R14B
ILMN_1746579	UBE2O
ILMN_2341661	ETV4
ILMN_1686097	TOP2A
ILMN_1755727	KDM5B
ILMN_2111932	SERINC2
ILMN_1684158	GPT2
ILMN_1700306	OCIAD2
ILMN_2349393	MDK
ILMN_1761946	PROM2
ILMN_1655915	MMP11
ILMN_1672589	SEMA4B
ILMN_1798804	SRPK1
ILMN_1696601	VARS
ILMN_1659027	SLC2A1
ILMN_1742705	SLC39A11
ILMN_1812262	DDR1
ILMN_1719303	P4HB
ILMN_2311537	HMGA1
ILMN_1651354	SPP1
ILMN_1792168	GALE
ILMN_1753584	KRT8
ILMN_1711566	TIMP1
ILMN_1756402	TMEM177
ILMN_1741406	HOOK1
ILMN_1708906	CNOT11
ILMN_1653342	DUS1L
ILMN_1658902	DEAF1
ILMN_1738530	ATAD3A
ILMN_1733811	JUP
ILMN_1713952	C1orf106
ILMN_1663390	CDC20
ILMN_1811364	SGPP2
ILMN_1731353	CHPF
ILMN_2141790	HYOU1
ILMN_1806037	TK1
ILMN_2387471	
ILMN_1693941	IGSF9
ILMN_1806607	SFN
ILMN_1728298	SBK1
ILMN_1757631	DBNDD1
ILMN_1699695	TNFRSF21
ILMN_1699737	TRAP1
ILMN_1786065	UHRF1
ILMN_1751328	FAM83H
ILMN_1768751	MTA3
ILMN_1744963	ERO1L
ILMN_1815666	ATP2A2
ILMN_1712082	GCNT3
ILMN_1692731	TTYH3
ILMN_1664012	CANT1
ILMN_2286870	CSNK1D
ILMN_1710170	PPAP2C
ILMN_1700384	KIAA1522
ILMN_1732772	PPME1
ILMN_1760160	STX1A
ILMN_2413650	STIL
ILMN_2041577	SLC52A2
ILMN_2156267	EIF2AK1
ILMN_1766405	GOLM1
ILMN_1782389	LAD1
ILMN_1748093	PAFAH1B3
ILMN_1741133	NME1
ILMN_2413780	SEZ6L2
ILMN_1673991	ATIC
ILMN_1683450	CDCA5
ILMN_1770454	AGRN
ILMN_1680955	AURKA
ILMN_1783771	UBE2Z
ILMN_1679476	GART
ILMN_2220187	GFPT1
ILMN_2301083	UBE2C
ILMN_1699887	ST14
ILMN_2413779	SEZ6L2
ILMN_1733559	CDC14B
ILMN_2392546	PAICS
ILMN_2374352	DBNDD1
ILMN_2357438	AURKA
ILMN_1708348	ADAM8
ILMN_1714433	MARCKSL1
ILMN_1773119	CCNF
ILMN_1815261	PDIA4
