AKAP12	95022_at	ILMN_1684836
RECK	103804_at	ILMN_1688630
COL13A1	102261_f_at	ILMN_2370624
FIGF	92365_at	ILMN_1707612
S1PR1	161788_f_at	ILMN_1653504
MATN2	161776_at	ILMN_1694840
CDH5	104083_at	ILMN_1719236
ACVRL1	100449_g_at	ILMN_1807493
BNIP2	161712_r_at	ILMN_1770803
PDGFRA	95079_at	ILMN_1681949
KIT	99956_at	ILMN_1790160
HEY1	95671_at	ILMN_1788203
TIE1	161184_f_at	ILMN_1815690
PTGIS	104538_at	ILMN_1667692
UPK3B	104512_at	ILMN_1706441
TCF21	103050_at	ILMN_1766712
HSD11B1	97867_at	ILMN_2389501
FXYD1	93040_at	ILMN_1789463
MACF1	98402_at	ILMN_2301624
PPAP2A	98508_s_at	ILMN_1739161
LMO2	96810_at	ILMN_1800078
THBD	162023_f_at	ILMN_1759787
PTPRB	92289_at	ILMN_1672102
PPAP2B	96662_at	ILMN_2388800
GRK5	102217_at	ILMN_2096719
CYP4B1	103353_f_at	ILMN_2173291
TBX3	103538_at	ILMN_1713449
SCGB1A1	94291_at	ILMN_1655347
RAMP2	99444_at	ILMN_2149782
PRX	102214_at	ILMN_1786648
SESN1	95731_at	ILMN_1800626
ARRB1	100473_at	ILMN_1819608
TJP1	99935_at	ILMN_1691499
TBX2	104655_at	ILMN_1792256
BMP6	92372_at	ILMN_1747650
NDN	101059_at	ILMN_1692058
PECAM1	97830_at	ILMN_1689518
MYL9	96939_at	ILMN_1776953
NDRG2	96088_at	ILMN_2361603
IL6ST	94345_at	ILMN_1849013
ICAM2	99053_at	ILMN_1786823
FGL2	97949_at	ILMN_1693009
AHNAK	160255_at	ILMN_1714567
ENG	100134_at	ILMN_1760778
PTPRD	93896_at	ILMN_2315789
OGN	99549_at	ILMN_2387105
ABLIM1	103574_at	ILMN_2396672
LYSMD2	103560_at	ILMN_1724493
LIFR	103697_at	ILMN_1709094
CD93	93454_at	ILMN_1704730
