SFTPB	160891_at	ILMN_2359835
CTSH	94834_at	ILMN_2390853
CEBPA	98447_at	ILMN_1715715
C1QB	96020_at	ILMN_1796409
CD74	101054_at	ILMN_1761464
HPGD	93351_at	ILMN_2166457
PRNP	100606_at	ILMN_2360415
CYBA	100059_at	ILMN_1744604
ATP6V0D1	92603_at	ILMN_1795826
CD44	103005_s_at	ILMN_2348788
FASN	98575_at	ILMN_1784871
F10	103977_at	ILMN_1670708
OSTF1	99158_at	ILMN_1742456
NFIL3	102955_at	ILMN_1707312
ADIPOR2	104605_at	ILMN_2224833
CD14	98088_at	ILMN_1740015
ST7	160591_at	ILMN_1707763
AVPI1	96866_at	ILMN_1671731
ELF5	103283_at	ILMN_1813270
PTGS1	95597_at	ILMN_2339835
LCP1	94278_at	ILMN_1662932
C1QC	92223_at	ILMN_1785902
FNTA	98121_at	ILMN_1746494
CD9	95661_at	ILMN_1695423
CTSS	98543_at	ILMN_1743032
IFI30	97444_at	ILMN_1807277
GLRX	95722_at	ILMN_1737308
ACSL4	102381_at	ILMN_1683598
PPARG	97926_s_at	ILMN_1800225
CTSC	101019_at	ILMN_1792885
CD68	103016_s_at	ILMN_2267914
NAPSA	101972_at	ILMN_1784040
GJA1	100064_f_at	ILMN_1727087
CDKN1A	94881_at	ILMN_1784602
ID2	93013_at	ILMN_2086095
CH25H	104509_at	ILMN_1741021
CYB5R3	94284_at	ILMN_2308582
CITED2	101973_at	ILMN_1663092
OSBPL1A	93316_at	ILMN_1773063
WLS	101001_at	ILMN_1671260
APOC1	93354_at	ILMN_1789007
ITGB2	102353_at	ILMN_2175912
HHEX	98408_at	ILMN_1762712
SNX10	94556_at	ILMN_2170949
SOCS2	99475_at	ILMN_1798926
SOCS3	162206_f_at	ILMN_1781001
BTG1	93104_at	ILMN_1775743
RPL10A	100711_at	ILMN_1808041
ACADL	95425_at	ILMN_1660890
HDC	93328_at	ILMN_1792323
AXL	99136_at	ILMN_2364521
PLIN2	98589_at	ILMN_2138765
SPG21	95430_f_at	ILMN_1657423
FCER1G	160692_at	ILMN_2123743
TYROBP	100397_at	ILMN_1778977
BEX4	93021_at	ILMN_2351638
BEX1	93020_at	ILMN_2234697
SLPI	92858_at	ILMN_2114720
RBP4	96047_at	ILMN_1814719
SIRPA	103070_at	ILMN_1758146
MARCO	102974_at	ILMN_1731503
LAPTM5	100012_at	ILMN_1772359
MSR1	94140_at	ILMN_1694400
FPR2	101800_at	ILMN_1740875
AK1	96801_at	ILMN_1779965
PLBD1	98033_at	ILMN_1707286
F3	97689_at	ILMN_1797009
CLIP4	160975_at	ILMN_1759792
KCNJ15	99974_at	ILMN_1675756
