MUC1	102918_at	ILMN_2371911
CLDN3	162315_f_at	ILMN_1723042
LDHA	96072_at	ILMN_1807106
PAFAH1B3	100576_at	ILMN_1748093
B3GAT3	94407_at	ILMN_2210581
KCNK1	102335_at	ILMN_1718863
SDC1	96033_at	ILMN_1815308
HMGB3	98038_at	ILMN_1733519
BOP1	161599_i_at	ILMN_1715583
SPINT1	97206_at	ILMN_1724946
GPR56	102787_at	ILMN_2384122
ITM2C	96283_at	ILMN_1680453
ALDOA	160090_f_at	ILMN_1741148
GAPDH	97751_f_at	ILMN_1802252
CLDN7	99561_f_at	ILMN_2143685
HNF1B	101396_at	ILMN_1778337
LCN2	160564_at	ILMN_1692223
GOLM1	95593_at	ILMN_1766405
IGFBP3	95082_at	ILMN_1746085
PON2	104378_at	ILMN_2354381
GALNT3	99011_at	ILMN_1671039
CTSA	101055_at	ILMN_1719286
GGCX	103590_at	ILMN_1758232
PPP1R14B	160078_at	ILMN_1659888
ADSSL1	98435_at	ILMN_1720235
EIF2AK4	94941_at	ILMN_1755114
SLC25A39	100041_at	ILMN_1743911
PTPRF	96272_at	ILMN_1798081
GRINA	99161_at	ILMN_1796490
BSG	101078_at	ILMN_1778374
CCT3	98446_s_at	ILMN_2334989
CHD4	99120_f_at	ILMN_1658411
PLXNB2	160311_at	ILMN_1763447
LAMB3	92759_at	ILMN_1715684
MLEC	94000_at	ILMN_1657495
KRT8	101009_at	ILMN_1753584
CRLF1	161046_at	ILMN_1681515
MTIF2	93859_at	ILMN_1765520
DAP	93842_at	ILMN_2112493
MTX1	161898_i_at	ILMN_1667222
KRT81	161174_i_at	ILMN_1801442
CEACAM1	102806_g_at	ILMN_1716815
LSR	162274_f_at	ILMN_2363498
SPP1	97519_at	ILMN_1651354
TMEM62	93179_at	ILMN_1745807
MBTD1	94542_at	ILMN_2101651
GARS	93270_at	ILMN_1771026
GNL3	98948_at	ILMN_1806106
KRT18	94270_at	ILMN_1694778
TBC1D24	97710_f_at	ILMN_2060212
DUSP6	93285_at	ILMN_2396020
IL18	102802_at	ILMN_1778457
GJB2	98423_at	ILMN_1769388
TPI1	99566_at	ILMN_2181191
PABPC1	100720_at	ILMN_1761155
POLR1C	160426_at	ILMN_1746686
NOP56	162433_f_at	ILMN_1787628
ERRFI1	93974_at	ILMN_1665510
REEP6	96134_at	ILMN_1697460
PSAT1	96295_at	ILMN_1692938
PRDX4	93495_at	ILMN_2222234
ACE2	160986_r_at	ILMN_1667018
RRBP1	92850_at	ILMN_1803810
LRRFIP1	92564_at	ILMN_2214997
EPCAM	99582_at	ILMN_2160210
EIF4G1	103926_at	ILMN_1768470
MMP12	95339_r_at	ILMN_2073758
HOXD1	98820_g_at	ILMN_1717381
BASP1	95673_s_at	ILMN_1651826
