Gene ID	Gene name
160891_at	Sftpb
160697_at	C77080
94834_at	Ctsh
160344_at	Npc2
98447_at	Cebpa
100584_at	Anxa4
102918_at	Muc1
162315_f_at	Cldn3
102323_at	Hap1
96020_at	C1qb
98035_g_at	H2-DMb1
160822_at	Rap1gap
101054_at	Cd74
100428_at	Lamc2
101685_f_at	
93418_g_at	Mef2b
96072_at	Ldha
102248_f_at	Cask
103001_at	Vegfb
161706_f_at	Lamc1
101913_at	Clcn5
100576_at	Pafah1b3
96318_at	D17Wsu104e
103275_at	Atp6v0a1
100432_f_at	Mdfi
99143_at	Tgoln1
94407_at	B3gat3
102335_at	Kcnk1
99500_at	Slc12a2
98926_at	Vamp2
98034_at	H2-DMb1
92336_at	Polrmt
161600_r_at	
96624_r_at	Eef1b2
96033_at	Sdc1
100686_at	Rps2
95084_f_at	Grhpr
100581_at	Cstb
102201_s_at	Psen1
104701_at	Bhlhe40
102942_at	Specc1
96032_at	Atp5g1
160493_at	Cd63
97385_at	Nagk
98038_at	Hmgb3
102292_at	Gadd45a
93573_at	Mt1
161083_at	Taok3
96919_at	Atp6v0c
93810_at	Ctsd
161658_at	Map3k11
93351_at	Hpgd
93092_at	H2-DMa
96698_at	Psmd5
161599_i_at	Bop1
103845_at	Slc31a1
160439_at	Polg
99856_r_at	Ctnnd2
95444_at	Tmem49
100998_at	H2-Ab1
100606_at	Prnp
98440_at	Ptgr1
97206_at	Spint1
102787_at	Gpr56
93835_at	Fuca1
103573_at	Pip5k1b
96283_at	Itm2c
103367_at	B4galnt1
93798_at	Atp1a1
98457_at	Slc4a4
96676_at	Chchd7
100059_at	Cyba
97686_r_at	Prcc
160090_f_at	Aldoa
160568_at	Eno1 /// Gm5506 /// LOC100503183
161467_f_at	Atp1b1
104033_at	Ctage5
93358_at	Eif1ax
99591_i_at	Rdh11
160830_at	Cnih2
97751_f_at	Gapdh
92866_at	H2-Aa
100544_at	Brd7
94232_at	Ccnd1
92603_at	Atp6v0d1
95887_at	Soat1
99561_f_at	Cldn7
96735_at	Stard10
103005_s_at	Cd44
98575_at	Fasn
160693_at	Pip4k2c
95021_at	Arglu1
93869_s_at	Bcl2a1a /// Bcl2a1c /// Bcl2a1d
97924_at	Gne
101984_at	Atox1
104171_f_at	Crygd
103977_at	F10
101396_at	Hnf1b
99158_at	Ostf1
93323_at	Plp2
102955_at	Nfil3
93797_g_at	Atp1a1
98994_at	Slc34a2
101082_at	Me1
94285_at	H2-Eb1
160564_at	Lcn2
96956_at	Prdx5
99127_at	Atxn10
96123_at	Lbp
104605_at	Adipor2
101383_at	Tnnt1
162372_f_at	Relb
94375_at	Hk2
98088_at	Cd14
99915_at	Areg
101982_at	Vasp
161311_at	
160349_at	Cndp2
96657_at	Sat1
95608_at	Ctsb
103554_at	Adam19
160591_at	St7
101214_f_at	Gapdh
162385_i_at	Slc2a4
98459_at	Shmt1
94831_at	Ctsb
95593_at	Golm1
95082_at	Igfbp3
160546_at	Aldoc
100734_at	Rpl3
102002_at	Ubqln2
104378_at	Pon2
160702_at	Esrp1
93455_s_at	Bmp4
96866_at	Avpi1
