Clec3b	ILMN_1682176	92224_at
Tcf21	ILMN_1766712	103050_at
Cav1	ILMN_1687583	160280_at
Tcf21	ILMN_1728570	103050_at
Cav1	ILMN_2149226	160280_at
Ednrb	ILMN_1751904	103550_at
Tek	ILMN_2066151	102720_at
Tek	ILMN_1751576	102720_at
Lyve1	ILMN_1808114	160583_at
Pecam1	ILMN_1689518	97830_at
Rhoj	ILMN_1678215	104697_at
S1pr1	ILMN_1653504	161788_f_at
Mfap4	ILMN_1766914	161962_f_at
Spock2	ILMN_1656287	104375_at
Fhl1	ILMN_1805842	97500_g_at
Fhl1	ILMN_1805842	97498_at
Kank3	ILMN_1755588	96785_at
Lyve1	ILMN_2210753	160583_at
Adarb1	ILMN_2319326	161436_s_at
Cdh5	ILMN_1719236	104083_at
Cox7a1	ILMN_1662419	102749_at
Ptprb	ILMN_1672102	92289_at
Cd93	ILMN_1704730	93454_at
Tcf21	ILMN_1719351	103050_at
Inmt	ILMN_1781149	97402_at
Rhoj	ILMN_2107613	104697_at
Sparcl1	ILMN_1795251	160319_at
Sparcl1	ILMN_2218208	160319_at
Cfd	ILMN_1777190	99671_at
Sdpr	ILMN_1715991	160373_i_at
Vwf	ILMN_1752755	103499_at
Ppap2b	ILMN_2388800	96662_at
Epas1	ILMN_1704753	102698_at
Emcn	ILMN_1685917	94997_at
Acvrl1	ILMN_1807493	100449_g_at
Acvrl1	ILMN_1807493	100450_r_at
Cdo1	ILMN_2234187	96346_at
Tnnc1	ILMN_1809842	101063_at
Gpc3	ILMN_2051972	160158_at
Cldn5	ILMN_1728197	104516_at
Pmp22	ILMN_1785646	102395_at
Adrb2	ILMN_1695590	93193_at
Snca	ILMN_1701933	93273_at
Grk5	ILMN_2096719	102217_at
Srgn	ILMN_1760347	94085_at
Angpt1	ILMN_1677723	96510_at
Fxyd1	ILMN_1789463	93040_at
Cxcl12	ILMN_1791447	162234_f_at
Klf4	ILMN_2137789	99622_at
Gpm6b	ILMN_1704665	99178_at
Gmfg	ILMN_1711617	97384_at
Dcn	ILMN_2347145	93534_at
Dcn	ILMN_1768227	93534_at
Gimap4	ILMN_1748473	96172_at
Fxyd1	ILMN_2345292	93040_at
Ndrg2	ILMN_2361603	96088_at
Calcrl	ILMN_1758281	97795_at
Hoxa5	ILMN_1753613	103086_at
Rasip1	ILMN_1755657	104146_at
Timp3	ILMN_1701461	160519_at
Srgn	ILMN_2169152	94085_at
Tie1	ILMN_1815690	161184_f_at
Tie1	ILMN_1815690	99936_at
Gpx3	ILMN_1726666	101676_at
Lepr	ILMN_2234956	100431_at
Reck	ILMN_1688630	103804_at
Wisp2	ILMN_1812461	94704_at
Mgp	ILMN_1651958	93866_s_at
Fermt2	ILMN_1695290	96774_at
Sox17	ILMN_1671092	92996_at
Cdo1	ILMN_1753931	96346_at
Ramp2	ILMN_2149782	99444_at
Ltbp4	ILMN_1665219	97347_at
Reck	ILMN_2067269	103804_at
Col13a1	ILMN_2370624	102261_f_at
Col13a1	ILMN_2370624	102262_r_at
Id3	ILMN_1732296	92614_at
Gpm6b	ILMN_1735438	99178_at
Sesn1	ILMN_1800626	95731_at
Grk5	ILMN_1728830	102217_at
Angpt1	ILMN_2086890	96510_at
Gng11	ILMN_1782419	94377_at
S100a8	ILMN_1729801	103448_at
Dcn	ILMN_1683194	93534_at
Lmo2	ILMN_1800078	96810_at
Sash1	ILMN_1712673	103736_at
Dpt	ILMN_1708107	96742_at
Ptrf	ILMN_1757552	104100_at
Gfra2	ILMN_1656300	92449_at
Sash1	ILMN_2185984	103736_at
Serping1	ILMN_1670305	99081_at
Tspan7	ILMN_1809291	93326_at
Klf2	ILMN_1735930	96109_at
Ramp2	ILMN_1814464	99444_at
Figf	ILMN_1707612	92365_at
Smad6	ILMN_1767068	104220_at
Enpp2	ILMN_1780799	97317_at
Dusp1	ILMN_1781285	104598_at
Rarres2	ILMN_1810844	97835_at
Bdnf	ILMN_1751276	102727_at
Hsd11b1	ILMN_2389501	97867_at
Tbx3	ILMN_1713449	103538_at
Cxcl12	ILMN_1689111	162234_f_at
Tfrc	ILMN_1674243	103957_at
Fmo3	ILMN_2344283	104421_at
Tspan7	ILMN_2120695	93326_at
Mgp	ILMN_2071809	93866_s_at
Fmo3	ILMN_1808657	104421_at
Cyp4b1	ILMN_2173291	103353_f_at
Enpp2	ILMN_2373791	97317_at
Pmp22	ILMN_1810864	102395_at
Limch1	ILMN_2139761	103412_at
Limch1	ILMN_2139761	103743_at
Prkce	ILMN_1717799	103223_at
Prx	ILMN_1786648	102214_at
Hck	ILMN_1791771	93483_at
Npnt	ILMN_1735762	103721_at
Icam2	ILMN_1786823	99053_at
Sept4	ILMN_2402172	161234_f_at
Sept4	ILMN_2402172	94079_at
Aldh1a1	ILMN_1709348	100068_at
Lepr	ILMN_1731966	100431_at
Cyp4b1	ILMN_1659215	103353_f_at
Upk3b	ILMN_1706441	104512_at
Klf9	ILMN_1778523	93528_s_at
Cdkn1c	ILMN_1718565	95471_at
Hsd11b1	ILMN_2389506	97867_at
Pmp22	ILMN_1659312	102395_at
Lyl1	ILMN_2216582	100468_g_at
Ednrb	ILMN_1710297	103550_at
Ndn	ILMN_1692058	101059_at
Gadd45b	ILMN_1718977	161666_f_at
Il1b	ILMN_1775501	103486_at
Ets1	ILMN_1687538	94332_at
Ahnak	ILMN_1714567	160255_at
Thbd	ILMN_1759787	162023_f_at
Thbd	ILMN_1759787	104601_at
Sparc	ILMN_1796734	97160_at
Notch4	ILMN_1711157	92652_at
Ptprd	ILMN_2315789	93896_at
Ptprd	ILMN_2315789	93485_at
Upk3b	ILMN_1803024	104512_at
Ahnak	ILMN_1792495	160255_at
Rgs2	ILMN_2197365	97844_at
Cd97	ILMN_1673363	97832_at
Lysmd2	ILMN_1724493	103560_at
Rbp1	ILMN_1656837	104716_at
Meis1	ILMN_1705685	98790_s_at
Cxcl12	ILMN_1803825	162234_f_at
Ets2	ILMN_1720158	94246_at
Ndst1	ILMN_1807283	93590_at
Upk3b	ILMN_2264177	104512_at
Fgl2	ILMN_1693009	97949_at
Myl9	ILMN_1776953	96939_at
Gng2	ILMN_1807925	100418_at
