Ppp1r14b	ILMN_1659888	160078_at
Spp1	ILMN_1651354	97519_at
Krt8	ILMN_1753584	101009_at
Golm1	ILMN_1766405	95593_at
Pafah1b3	ILMN_1748093	100576_at
Lsr	ILMN_2363498	162274_f_at
Gars	ILMN_1771026	93270_at
Ptprf	ILMN_1798081	96272_at
Ceacam1	ILMN_1716815	102806_g_at
Gapdh	ILMN_1802252	97751_f_at
Gapdh	ILMN_1802252	101214_f_at
Slc25a39	ILMN_1743911	100041_at
Bop1	ILMN_1715583	161599_i_at
Spp1	ILMN_2374449	97519_at
Gpr56	ILMN_2384122	102787_at
Aldoa	ILMN_1741148	160090_f_at
Aldoa	ILMN_1741148	161889_f_at
Ldha	ILMN_1807106	96072_at
Epcam	ILMN_2160210	99582_at
Psat1	ILMN_1692938	96295_at
Lsr	ILMN_1749396	162274_f_at
Polr1c	ILMN_1746686	160426_at
Tmem62	ILMN_1745807	93179_at
Hmgb3	ILMN_1733519	98038_at
Rrbp1	ILMN_1803810	92850_at
Gpr56	ILMN_2352097	102787_at
Ceacam1	ILMN_2371724	102806_g_at
Eif4g1	ILMN_1768470	103926_at
Tpi1	ILMN_2181191	99566_at
Dap	ILMN_2112493	93842_at
Mtx1	ILMN_1667222	161898_i_at
Mtif2	ILMN_1765520	93859_at
Cldn3	ILMN_1723042	162315_f_at
Cldn3	ILMN_1723042	94493_at
Mlec	ILMN_1657495	94000_at
Gapdh	ILMN_1343295	97751_f_at
Gapdh	ILMN_1343295	101214_f_at
B3gat3	ILMN_2210581	94407_at
Eif4g1	ILMN_2370772	103926_at
Gapdh	ILMN_2038778	97751_f_at
Gapdh	ILMN_2038778	101214_f_at
Spint1	ILMN_1724946	97206_at
Cct3	ILMN_2334989	98446_s_at
Rrbp1	ILMN_2360784	92850_at
Kcnk1	ILMN_1718863	102335_at
Nop56	ILMN_1787628	162433_f_at
Reep6	ILMN_1697460	96134_at
Rrbp1	ILMN_2268381	92850_at
Tbc1d24	ILMN_2060212	97710_f_at
Spint1	ILMN_2375992	97206_at
Chd4	ILMN_1658411	99120_f_at
Mmp12	ILMN_2073758	95339_r_at
Gjb2	ILMN_1769388	98423_at
Cct3	ILMN_1651828	98446_s_at
Kcnk1	ILMN_2071641	102335_at
Ctsa	ILMN_1719286	101055_at
Gnl3	ILMN_1806106	98948_at
Sdc1	ILMN_1815308	96033_at
Ggcx	ILMN_1758232	103590_at
Mbtd1	ILMN_2101651	94542_at
Prdx4	ILMN_2222234	93495_at
Cldn7	ILMN_2143685	99561_f_at
Epcam	ILMN_2160209	99582_at
Itm2c	ILMN_1680453	96283_at
Galnt3	ILMN_1671039	99011_at
Galnt3	ILMN_1671039	162313_f_at
Mbtd1	ILMN_2101650	94542_at
Krt18	ILMN_1694778	94270_at
Lcn2	ILMN_1692223	160564_at
Lcn2	ILMN_1692223	161684_r_at
Adssl1	ILMN_1720235	98435_at
Il18	ILMN_1778457	102802_at
Igfbp3	ILMN_1746085	95082_at
Igfbp3	ILMN_2396875	95082_at
Chd4	ILMN_1685551	99120_f_at
Hnf1b	ILMN_1778337	101396_at
Lrrfip1	ILMN_2214997	92564_at
Eif2ak4	ILMN_1755114	94941_at
Plxnb2	ILMN_1763447	160311_at
Ptprf	ILMN_2380163	96272_at
Bsg	ILMN_1778374	101078_at
Pabpc1	ILMN_1761155	100720_at
Lamb3	ILMN_1715684	92759_at
Crlf1	ILMN_1681515	161046_at
Itm2c	ILMN_2366041	96283_at
Grina	ILMN_1796490	99161_at
Grina	ILMN_1796490	99160_s_at
Ace2	ILMN_1667018	160986_r_at
Pon2	ILMN_2354381	104378_at
Dusp6	ILMN_2396020	93285_at
Muc1	ILMN_2371911	102918_at
Pabpc1	ILMN_2136133	100720_at
Errfi1	ILMN_1665510	93974_at
Krt81	ILMN_1801442	161174_i_at
Hoxd1	ILMN_1717381	98820_g_at
Basp1	ILMN_1651826	95673_s_at
